market_constraint,dayzer_constraint,pano_constraint,dayzer_score,dayzer_confidence,dayzer_status,dayzer_id,pano_score,pano_confidence,pano_status,pano_id,pano_latest,pano_stale,overall_score,overall_confidence,market_id
AEP-DOM CONTINGENCY 9 : L765.WYOMING-JACKSONSFERRY,AEP-DOM Actual:L765.Broadford-JacksonsFerry + B138.Broadford.R,TRANSFER INTERFACE: AEP-DOM : L765.Wyoming-JacksonsFerry,85.51,medium,matched,5109316,91.88,high,matched,628,2026-02-08,False,85.51,medium,10002890716_10004074832
138 SILV 345 KV 138 SILVER 45TR83 CT : 345/138.SILVERLAKE.T82 G SPOG 2-38,138 SILV_345 KV_TR83CT-P:345/138.SilverLake.T82 G SPOG 2-38,138 SILV 345KV - 138 SILV 1KV (138 SILV 345 KV TR83CT-P) : 345/138.SilverLake.T82 G SPOG 2-38,86.07,medium,matched,553421,84.31,medium,matched,2926,2024-03-22,True,84.31,medium,10000466872_10017413602
CONASTON 500 KV CONASTON 500-2 XFORMER : ACTUAL,CONASTON_500 KV_500-2:ACTUAL,CONASTON 500KV - CONASTON 230KV (CONASTON 500 KV 500-2) : BASE,100.0,high,matched,512145,100.0,high,matched,1328,2025-09-05,True,100.0,high,10000465786_10000680485
COLU PL 230 KV COLU PL-MONTOUR : L230.MILTON-MONTOUR,MONTOUR_230 KV_MON-SAE2:L230.Montour-Saegers.1,MONTOUR 230KV - COLU PL 230KV (COLU PL 230 KV COL-MON) : L230.Milton-Montour,77.65,low,matched,554255,100.0,high,matched,5032,2021-07-15,True,77.65,low,10000565476_10016746535
BREMO4  115 KV  BRE-FRKU : L230.BREMO-FORKUNION.2193,BREMO4_115 KV_BRE-FRKU:L230.Bremo-ForkUnion.2193,FRKUNION 115KV - BREMO4 115KV (BREMO4 115 KV BRE-FRKU) : L230.Bremo-ForkUnion.2193,100.0,high,matched,552463,100.0,high,matched,2237,2024-12-04,True,100.0,high,10017102709_10016432177
23 COLLI 345 KV 23 COLLINS 45TR92 CT : ACTUAL,23 COLLI_345 KV_2310:ACTUAL,23 COLLI 345KV - 23 COLLI 1KV (23 COLLI 345 KV TR92CT-S) : BASE,90.71,high,matched,520242,83.47,medium,matched,3263,2023-10-20,True,83.47,medium,10000467005_10000680485
CHURCH 69 KV CHURCH-NEWMERED 6704-1 : L230.MILFORD-STEELE.23076,CHURCH_69 KV_CHU-NME:L230.Milford-Steele.23076,CHURCH-NEWMERED 6704-1      A  69 KV : L230.Milford-Steele.23076,83.75,medium,matched,201263,100.0,high,matched,11564,2015-11-23,True,83.75,medium,10000566501_10002501959
MCCARTER230 KV  MCC-WOR : L230.CEDARGROVE-CEDARSUB-WILLIAM.F-2206,MCCARTER_230 KV_MCC-STA:L230.CedarGrove-CedarSub-Roseland.Y-2277,MCCARTER230 KV  MCC-WOR : L230.CedarGrove-CedarSub-William.F-2206,85.48,medium,matched,550835,100.0,high,matched,5292,2021-03-04,True,85.48,medium,10016470256_10002539863
MIAMI   345 KV  BK-E : ACTUAL,MIAMI_345 KV_BK-E:ACTUAL,MIAMI 345KV - MIAMI 138KV (MIAMI 345 KV BK-E) : BASE,100.0,high,matched,520601,100.0,high,matched,3733,2023-04-26,True,100.0,high,10016032444_10000680485
DUMONT2 765 KV DUMONT2-WILTON : ACTUAL,DUMONT2_765 KV_DUM-WIL1:ACTUAL,DUMONT2 765 KV  1-P : BASE,88.18,medium,matched,101419,91.88,high,matched,10628,2016-07-23,True,88.18,medium,10000579098_10000680485
BOXWOOD 138 KV BOXWOOD-CLIFFORD : L500.CLOVERDALE-LEXINGTON.566,CLIFFORD_138 KV_CLI-COL1:L500.Cloverdale-Lexington.566,BOXWOOD 138KV - CLIFFORD 138KV (BOXWOOD 138 KV BOX-CLI1) : L500.Cloverdale-Lexington.566,86.32,medium,matched,552082,100.0,high,matched,574,2026-02-16,False,86.32,medium,10000568439_10002507251
BEAVER 345 KV BEAVER TR1 XFORMER : L345.BEAVER-LAKEAVENUE.1,BEAVER_345 KV_TR1:L345.Beaver-LakeAvenue.1,BEAVER 345KV - BEAVER 138KV (BEAVER 345 KV TR1) : L345.Beaver-LakeAvenue.1,100.0,high,matched,552981,100.0,high,matched,1978,2025-03-11,True,100.0,high,10001775594_10017176639
114_NORT_11413811412Z1_1_LN : ACTUAL,114 NORT     138-114 NORT     138,114_NORT_11413811412Z1_1_LN : BASE,87.0,medium,matched,1000027,100.0,high,matched,786,2025-12-24,True,87.0,medium,10019104495_10000680485
HAVILAND69 KV   HAV-PAU : L138.EASTLIMA-HAVILAND,HAVILAND_69 KV_HAV-PAU:L138.EastLima-Haviland,HAVILAND 69KV - PAULDING 69KV (HAVILAND 69 KV HAV-PAU) : L138.EastLima-Haviland,100.0,high,matched,553319,100.0,high,matched,3063,2024-01-13,True,100.0,high,10017319958_10017319959
KENNY   138 KV  KEN-ROB1 : L138.ROBERTS-WESTCAMPUS,KENNY_138 KV_KEN-ROB1:L138.Roberts-WestCampus,ROBERTS2 138KV - KENNY 138KV (KENNY 138 KV KEN-ROB1) : L138.Roberts-WestCampus,100.0,high,matched,553905,100.0,high,matched,1917,2025-03-27,True,100.0,high,10017430036_10017920797
MALISZEW138 KV  MAL-POL1 : L138.MALISZEWSKI-GENOA,MALISZEW_138 KV_MAL-POL1:L138.Maliszewski-Genoa,MALISZEW 138KV - POLARIS 138KV (MALISZEW 138 KV MAL-POL1) : L138.Maliszewski-Genoa,100.0,high,matched,554088,100.0,high,matched,300,2026-04-07,False,100.0,high,10004213098_10018571402
